Name,Year,duration,Rating,Meta_score,Votes,Director,cast,Gross,genre
Harry Potter and the Sorcerer's Stone,2001,152,7.6,64.0,669900,Chris Columbus,"Daniel Radcliffe, Rupert Grint, Richard Harris, Maggie Smith",317.58,Adventure
The Others,2001,101,7.6,74.0,341327,bar,"Nicole Kidman, Christopher Eccleston, Fionnula Flanagan, Alakina Mann",96.52,Horror
Blow,2001,124,7.6,,243069,Ted Demme,"Johnny Depp, Penélope Cruz, Franka Potente, Rachel Griffiths",52.99,Biography
Enemy at the Gates,2001,131,7.6,,246007,Jacques Annaud,"Jude Law, Ed Harris, Joseph Fiennes, Rachel Weisz",51.4,Drama
Minority Report,2002,145,7.6,80.0,513176,Steven Spielberg,"Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow",132.07,Action
American Psycho,2000,101,7.6,64.0,502209,Mary Harron,"Christian Bale, Justin Theroux, Josh Lucas, Bill Sage",15.07,Comedy
Lola rennt,1998,81,7.6,77.0,189565,Tom Tykwer,"Franka Potente, Moritz Bleibtreu, Herbert Knaup, Nina Petri",7.27,Crime
The Thin Red Line,1998,170,7.6,78.0,174780,Terrence Malick,"Jim Caviezel, Sean Penn, Nick Nolte, Kirk Acevedo",36.4,Drama
Mulan,1998,88,7.6,71.0,260506, Barry Cook,"Ming-Na Wen, Eddie Murphy, BD Wong, Miguel Ferrer",120.62,Animation
Fear and Loathing in Las Vegas,1998,118,7.6,,262221,Terry Gilliam,"Johnny Depp, Benicio Del Toro, Tobey Maguire, Michael Lee Gogin",10.68,Adventure
Funny Games,1997,108,7.6,69.0,66315,Michael Haneke,"Susanne Lothar, Ulrich Mühe, Arno Frisch, Frank Giering",,Crime
Dark City,1998,100,7.6,66.0,189358,Alex Proyas,"Rufus Sewell, Kiefer Sutherland, Jennifer Connelly, William Hurt",14.38,Fantasy
Sleepers,1996,147,7.6,,194136,Barry Levinson,"Robert De Niro, Kevin Bacon, Brad Pitt, Jason Patric",49.1,Crime
Lost Highway,1997,134,7.6,,132825,David Lynch,"Bill Pullman, Patricia Arquette, John Roselius, Louis Eppolito",3.8,Mystery
Sense and Sensibility,1995,136,7.6,84.0,104205,Ang Lee,"Emma Thompson, Kate Winslet, James Fleet, Tom Wilkinson",43.18,Drama
Die Hard: With a Vengeance,1995,128,7.6,,366977,John McTiernan,"Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene",100.01,Action
Dead Man,1995,121,7.6,62.0,91358,Jim Jarmusch,"Johnny Depp, Gary Farmer, Crispin Glover, Lance Henriksen",1.04,Adventure
The Bridges of Madison County,1995,135,7.6,69.0,74255,Clint Eastwood,"Clint Eastwood, Meryl Streep, Annie Corley, Victor Slezak",71.52,Drama
Apollo 13,1995,140,7.6,77.0,273128,Ron Howard,"Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise",173.84,Adventure
Trois couleurs: Blanc,1994,92,7.6,88.0,65792,Krzysztof Kieslowski,"Zbigniew Zamachowski, Julie Delpy, Janusz Gajos, Jerzy Stuhr",1.46,Comedy
Falling Down,1993,113,7.6,,174134,Joel Schumacher,"Michael Douglas, Robert Duvall, Barbara Hershey, Rachel Ticotin",40.9,Crime
Dazed and Confused,1993,102,7.6,78.0,168537,Richard Linklater,"Jason London, Wiley Wiggins, Matthew McConaughey, Rory Cochrane",7.99,Comedy
My Cousin Vinny,1992,120,7.6,68.0,109246,Jonathan Lynn,"Joe Pesci, Marisa Tomei, Ralph Macchio, Mitchell Whitfield",52.93,Comedy
Kal Hee,1991,118,7.6,90.0,27908,Isao Takahata,"Miki Imai, Toshirô Yanagiba, Yoko Honna, Mayumi Izuka",0.45,Animation
Home Alone,1990,103,7.6,63.0,494141,Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard",285.76,Comedy
